name,hex
Dark Bluish Gray,6C6E68
Light Bluish Gray,A0A5A9
Medium Nougat,AA7D55
Dark Brown,352100
Reddish Brown,582A12
Dark Tan,958A73
Tan,E4CD9E
Dark Purple,3F3691
Dark Blue,0A3463
Bright Light Blue,9FC3E9
Medium Azure,36AEBF
Dark Azure,078BC9
Medium Blue,5A93DB
Blue,0055BF
Olive Green,9B9A5A
Light Aqua,ADC3C0
Lime,BBE90B
Bright Green,4B9F4A
Green,237841
Dark Green,184632
Sand Green,A0BCAC
Bright Light Yellow,FFF03A
Yellow,F2CD37
Light Nougat,F6D7B3
Bright Light Orange,F8BB3D
Orange,FE8A18
Dark Orange,A95500
Medium Lavender,AC78BA
Bright Pink,E4ADC8
Dark Pink,C870A0
Magenta,923978
Dark Red,720E0F
Red,C91A09
White,FFFFFF
Black,05131D
